Filename,Benchmark_Satisfiability,Post_Transform_Satisfiability,Pre_Transform_Solving_Time,Post_Transform_Solving_Time,Post_Transform_Solving_Time_second
smt2016035095367711249.smt2,unsat,unsat,0.0270330905914306,0.0853638648986816,0.0518181324005126
smt65467803538243106.smt2,unsat,unsat,0.022317886352539,0.085237979888916,0.048753023147583
swap_t3_pp_nf_ai_00007_005.cvc.smt2,unsat,unsat,0.0900449752807617,0.3752250671386719,0.3383550643920898
smt5066516013081219368.smt2,unsat,unsat,0.0452322959899902,0.2601878643035888,0.0479447841644287
swap_t1_pp_nf_ai_00002_002.cvc.smt2,unsat,unsat,0.03597092628479,0.4441120624542236,0.0501561164855957
swap_t1_pp_nf_ai_00007_006.cvc.smt2,unsat,unsat,0.6300971508026123,0.6712648868560791,0.32576584815979
smt6334367605951226396.smt2,unsat,unsat,0.1425919532775879,0.1984789371490478,0.1444208621978759
smt6433635961432197699.smt2,unsat,unsat,0.1160058975219726,0.2179498672485351,0.0656170845031738
storecomm_t1_pp_nf_ni_00040_001.cvc.smt2,unsat,unsat,0.0668108463287353,0.2294299602508545,0.1025071144104003
smt3899959149727363456.smt2,unsat,unsat,0.0542762279510498,0.1116549968719482,0.0669169425964355
smt373337730591991193.smt2,unsat,unsat,0.0888991355895996,0.1170899868011474,0.0950698852539062
add6.smt2,unsat,unsat,0.0897190570831298,0.1544718742370605,0.1001532077789306
swap_t3_pp_sf_ai_00004_002.cvc.smt2,unsat,unsat,0.0526759624481201,0.1352591514587402,0.0960240364074707
smt3502153459994386289.smt2,unsat,unsat,0.0660080909729003,0.1299860477447509,0.0354280471801757
storeinv_t3_pp_sf_ai_00009_001.cvc.smt2,unsat,unsat,0.0826578140258789,0.1555378437042236,0.1410079002380371
smt9065296178149417744.smt2,unsat,unsat,0.017453908920288,0.0498633384704589,0.0690820217132568
smt3372199210070462891.smt2,unsat,unsat,0.0282778739929199,0.0537347793579101,0.089228868484497
smt498171090311845791.smt2,unsat,unsat,0.0437288284301757,0.1755957603454589,0.1072781085968017
smt2187227346843288353.smt2,unsat,unsat,0.0150351524353027,0.1974918842315673,0.0717618465423584
storecomm_t1_pp_nf_ni_00060_005.cvc.smt2,unsat,unsat,0.0890932083129882,0.3070230484008789,0.1153178215026855
smt52509716184046872.smt2,unsat,unsat,0.0399961471557617,0.3442249298095703,0.1524648666381836
smt3708937932107853478.smt2,unsat,unsat,0.0819730758666992,0.3587460517883301,0.1425390243530273
smt3620633566921225648.smt2,unsat,unsat,0.0433039665222168,0.8544809818267822,0.2601211071014404
storecomm_t1_pp_sf_ni_00010_007.cvc.smt2,unsat,unsat,0.0795800685882568,1.1073472499847412,0.1453239917755127
swap_t3_pp_nf_ai_00005_001.cvc.smt2,unsat,unsat,0.0416400432586669,0.8976719379425049,0.2572369575500488
smt7726411424237190229.smt2,unsat,unsat,0.035140037536621,0.7367889881134033,0.0997991561889648
smt5743509124567723052.smt2,unsat,unsat,0.2032420635223388,0.7363708019256592,0.1097571849822998
smt9116345646566616227.smt2,unsat,unsat,0.1957759857177734,0.5219278335571289,0.1091029644012451
smt6071472468091070475.smt2,unsat,unsat,0.0837948322296142,0.5884039402008057,0.1162760257720947
smt5759472278662243112.smt2,unsat,unsat,0.0954511165618896,0.9629099369049072,0.13981294631958
swap_t3_pp_sf_ai_00007_007.cvc.smt2,unsat,unsat,0.3793239593505859,1.1362788677215576,0.267949104309082
smt5029315679561572039.smt2,unsat,unsat,0.2669761180877685,1.0431811809539795,0.2603011131286621
swap_t3_pp_sf_ai_00009_005.cvc.smt2,unsat,unsat,1.8912570476531985,0.8749382495880127,0.4463460445404053
smt4134543687752878794.smt2,unsat,unsat,0.1598787307739257,0.511497974395752,0.3062179088592529
smt2677767669072326293.smt2,unsat,unsat,0.1153469085693359,0.2671470642089844,0.3052899837493896
smt8228927933959930295.smt2,unsat,unsat,0.0236101150512695,0.240462064743042,0.1265630722045898
swap_t3_pp_sf_ai_00003_004.cvc.smt2,unsat,unsat,0.039985179901123,0.578930139541626,0.0730149745941162
smt3439443866029601711.smt2,unsat,unsat,0.0366549491882324,0.2497961521148681,0.1200249195098877
smt5584401144276258491.smt2,unsat,unsat,0.0231521129608154,0.2431368827819824,0.1958639621734619
storecomm_t3_pp_sf_ni_00010_009.cvc.smt2,unsat,unsat,0.019191026687622,0.167633056640625,0.2122080326080322
smt1656968675425225632.smt2,unsat,unsat,0.0434229373931884,0.2053890228271484,0.1707489490509033
smt3160966959479480483.smt2,unsat,unsat,0.0255341529846191,0.2413389682769775,0.1941840648651123
smt6395525940490892471.smt2,unsat,unsat,0.0817830562591552,0.0249152183532714,0.0650219917297363
smt770795137149803982.smt2,unsat,unsat,0.016909122467041,0.3403730392456054,0.2173120975494384
smt2561940327326492283.smt2,unsat,unsat,0.013157844543457,0.1660811901092529,0.226572036743164
storecomm_t1_pp_nf_ni_00020_008.cvc.smt2,unsat,unsat,0.0167548656463623,0.1450259685516357,0.2265658378601074
swap_t3_pp_nf_ai_00005_007.cvc.smt2,unsat,unsat,0.0630972385406494,0.2304220199584961,0.2787179946899414
smt8875471975092501873.smt2,unsat,unsat,0.0750980377197265,0.0854051113128662,0.3640861511230469
storecomm_t3_pp_sf_ai_00010_005.cvc.smt2,unsat,unsat,0.0908520221710205,0.200613260269165,0.1669440269470214
smt7033469606705066791.smt2,unsat,unsat,0.0284688472747802,0.0927281379699707,0.2014691829681396
smt8108887928342549384.smt2,unsat,unsat,0.0185050964355468,0.0754339694976806,0.1118409633636474
swap_t3_pp_nf_ai_00008_006.cvc.smt2,unsat,unsat,4.8022401332855225,3.0435681343078613,2.021358013153076
smt1829682051084319908.smt2,unsat,unsat,0.1880409717559814,0.3344089984893799,0.1051759719848632
smt7034109130135749243.smt2,unsat,unsat,0.0182881355285644,0.1347599029541015,0.4646830558776855
smt7725713132450845498.smt2,unsat,unsat,0.0704491138458252,0.1826937198638916,0.2426538467407226
swap_t1_pp_sf_ai_00007_008.cvc.smt2,unsat,unsat,0.224039077758789,0.3659572601318359,0.4557931423187256
smt1286129643722180277.smt2,unsat,unsat,0.1206820011138916,0.1289777755737304,0.1733689308166504
smt2748958072806976140.smt2,unsat,unsat,0.0653266906738281,0.1323158740997314,0.1811878681182861
storecomm_t3_np_nf_ni_00050_006.cvc.smt2,unsat,unsat,0.0647149085998535,0.117790937423706,0.4540059566497803
swap_t1_pp_sf_ai_00007_009.cvc.smt2,unsat,unsat,0.7368569374084473,0.3910398483276367,0.5467498302459717
smt8987693239582237306.smt2,unsat,unsat,0.0188472270965576,0.2960138320922851,0.284027099609375
smt5720223571793459860.smt2,unsat,unsat,0.0170900821685791,0.2740139961242676,0.2837808132171631
smt1364854746565558653.smt2,unsat,unsat,0.0386979579925537,0.1177408695220947,0.3050229549407959
smt3728766622780732153.smt2,unsat,unsat,0.0175931453704834,0.1335649490356445,0.1700420379638672
swap_t1_pp_sf_ai_00006_002.cvc.smt2,unsat,unsat,0.4435110092163086,0.6664340496063232,0.5662550926208496
smt2033088614343642251.smt2,unsat,unsat,0.0899147987365722,0.2013592720031738,0.5027830600738525
smt6721808556525809116.smt2,unsat,unsat,0.0883538722991943,0.1057648658752441,0.503896951675415
smt4053218693677797575.smt2,unsat,unsat,0.0949246883392334,0.1831810474395752,0.3028831481933594
smt3004264733300706548.smt2,unsat,unsat,0.0746979713439941,0.2253608703613281,0.2026259899139404
smt1656603882241727713.smt2,unsat,unsat,0.0486009120941162,0.2098267078399658,0.3147399425506592
smt2264998853780541334.smt2,unsat,unsat,0.0438888072967529,0.2888059616088867,0.2424519062042236
smt3489543249285628273.smt2,unsat,unsat,0.110436201095581,0.2311837673187255,0.2335889339447021
smt2349554521575265533.smt2,unsat,unsat,0.0863440036773681,0.232419729232788,0.2183799743652343
smt4601349962451502646.smt2,unsat,unsat,0.0809528827667236,0.2526400089263916,0.2452161312103271
smt3010346108910513369.smt2,unsat,unsat,0.0667510032653808,0.2987630367279053,0.1027917861938476
smt4315728387069939040.smt2,unsat,unsat,0.0904812812805175,0.3858077526092529,0.0315568447113037
smt5361404349484649674.smt2,unsat,unsat,0.0410780906677246,0.2975506782531738,0.0477497577667236
smt2561449432101481323.smt2,unsat,unsat,0.0261318683624267,0.3667569160461426,0.4086580276489258
swap_t1_pp_sf_ai_00005_007.cvc.smt2,unsat,unsat,0.1105399131774902,0.3960230350494385,0.327845811843872
smt1232146482622696854.smt2,unsat,unsat,0.0878999233245849,0.2760882377624511,0.2456820011138916
smt4514744799427321218.smt2,unsat,unsat,0.0810530185699462,0.258577823638916,0.2799150943756103
smt6818634933433425749.smt2,unsat,unsat,0.0426912307739257,0.1515898704528808,0.655778169631958
smt2256856461941224445.smt2,unsat,unsat,0.116250991821289,0.2228102684020996,0.1683011054992675
swap_t3_pp_nf_ai_00005_003.cvc.smt2,unsat,unsat,0.203381061553955,0.2042498588562011,0.1679649353027343
smt8814225796421462573.smt2,unsat,unsat,0.0409870147705078,0.2459950447082519,0.2812530994415283
smt166278749308099823.smt2,unsat,unsat,0.022428274154663,0.2770707607269287,0.2242848873138427
smt1630796854449618649.smt2,unsat,unsat,0.0403468608856201,0.2961719036102295,0.1834609508514404
