Filename,Benchmark_Satisfiability,Post_Transform_Satisfiability,Pre_Transform_Solving_Time,Post_Transform_Solving_Time,Post_Transform_Solving_Time_second
storeinv_t3_np_sf_ai_00010_001.cvc.smt2,unsat,unsat,0.0136151313781738,0.0161089897155761,0.01192307472229
swap_t2_np_sf_ai_00008_005.cvc.smt2,unsat,unsat,0.0245492458343505,0.0164418220520019,0.0117671489715576
swap_t2_np_sf_ai_00004_001.cvc.smt2,unsat,unsat,0.0142769813537597,0.0164296627044677,0.008552074432373
swap_t1_np_sf_ai_00005_003.cvc.smt2,unsat,unsat,0.0078861713409423,0.0071659088134765,0.0159590244293212
swap_invalid_t3_np_sf_ai_00003_007.cvc.smt2,sat,sat,0.0124390125274658,0.0060751438140869,0.0062780380249023
swap_invalid_t1_np_sf_ai_00008_004.cvc.smt2,sat,sat,0.0094749927520751,0.0074050426483154,0.0073840618133544
swap_invalid_t3_np_sf_ai_00003_001.cvc.smt2,sat,sat,0.006537914276123,0.0143210887908935,0.0062451362609863
