Filename,Benchmark_Satisfiability,Post_Transform_Satisfiability,Pre_Transform_Solving_Time,Post_Transform_Solving_Time,Post_Transform_Solving_Time_second
swap_t1_pp_sf_ai_00007_004.cvc.smt2,unsat,unsat,0.0175249576568603,0.0084412097930908,0.0172300338745117
smt3708937932107853478.smt2,unsat,unsat,0.0159401893615722,0.0200159549713134,0.0154681205749511
smt52509716184046872.smt2,unsat,unsat,0.0159769058227539,0.0176241397857666,0.0156421661376953
storecomm_t1_pp_sf_ni_00010_007.cvc.smt2,unsat,unsat,0.0166642665863037,0.0111238956451416,0.0162341594696044
swap_t3_pp_sf_ai_00004_009.cvc.smt2,unsat,unsat,0.0111548900604248,0.0202579498291015,0.0175189971923828
smt5562411513078936721.smt2,unsat,unsat,0.0094070434570312,0.015779972076416,0.0152947902679443
smt5743509124567723052.smt2,unsat,unsat,0.0174570083618164,0.02701997756958,0.0271277427673339
swap_t1_pp_nf_ai_00007_007.cvc.smt2,unsat,unsat,0.0180487632751464,0.0183930397033691,0.0177500247955322
smt7726411424237190229.smt2,unsat,unsat,0.027318000793457,0.0295741558074951,0.0148138999938964
smt9116345646566616227.smt2,unsat,unsat,0.0152671337127685,0.0153651237487792,0.0153660774230957
smt6071472468091070475.smt2,unsat,unsat,0.0170211791992187,0.0169110298156738,0.0149037837982177
smt5759472278662243112.smt2,unsat,unsat,0.0151560306549072,0.0156290531158447,0.015561819076538
smt5029315679561572039.smt2,unsat,unsat,0.0333390235900878,0.0271611213684082,0.0150060653686523
smt7534652473557877715.smt2,unsat,unsat,0.0148820877075195,0.0165431499481201,0.0148253440856933
smt7618872707393860004.smt2,unsat,unsat,0.0155696868896484,0.0170149803161621,0.0154380798339843
smt1803124073673899816.smt2,unsat,unsat,0.0151879787445068,0.0127129554748535,0.0152180194854736
smt2677767669072326293.smt2,unsat,unsat,0.0292139053344726,0.0101292133331298,0.0277292728424072
smt4134543687752878794.smt2,unsat,unsat,0.0151968002319335,0.0055968761444091,0.0151050090789794
storecomm_t1_pp_nf_ni_00020_003.cvc.smt2,unsat,unsat,0.0259358882904052,0.0246469974517822,0.0183751583099365
smt7271452269704952934.smt2,unsat,unsat,0.0174520015716552,0.0152549743652343,0.0161678791046142
smt5776021850984479403.smt2,unsat,unsat,0.015434980392456,0.0155689716339111,0.0153999328613281
swap_t3_pp_sf_ai_00004_005.cvc.smt2,unsat,unsat,0.0111188888549804,0.0164079666137695,0.0173201560974121
smt3439443866029601711.smt2,unsat,unsat,0.0152556896209716,0.0095009803771972,0.0156269073486328
smt8228927933959930295.smt2,unsat,unsat,0.0187990665435791,0.0150840282440185,0.0187630653381347
storecomm_t1_pp_nf_ni_00040_006.cvc.smt2,unsat,unsat,0.0440549850463867,0.0389912128448486,0.0290727615356445
smt5584401144276258491.smt2,unsat,unsat,0.0178470611572265,0.0282158851623535,0.0271642208099365
smt8778954223442726272.smt2,unsat,unsat,0.014981985092163,0.0280909538269042,0.0152089595794677
storecomm_t3_pp_sf_ni_00010_009.cvc.smt2,unsat,unsat,0.0178859233856201,0.022468090057373,0.0163688659667968
swap_t1_pp_sf_ai_00007_002.cvc.smt2,unsat,unsat,0.0488519668579101,0.0535647869110107,0.0352728366851806
smt1656968675425225632.smt2,unsat,unsat,0.0093770027160644,0.0151219367980957,0.0151119232177734
smt3160966959479480483.smt2,unsat,unsat,0.021677017211914,0.0194718837738037,0.015068769454956
smt3341546682240303433.smt2,unsat,unsat,0.0149650573730468,0.0339572429656982,0.0155451297760009
smt2843347168814075751.smt2,unsat,unsat,0.0153510570526123,0.0199377536773681,0.0151219367980957
smt770795137149803982.smt2,unsat,unsat,0.0168359279632568,0.0108568668365478,0.0148727893829345
swap_t3_pp_nf_ai_00005_006.cvc.smt2,unsat,unsat,0.0112898349761962,0.0191538333892822,0.0187699794769287
smt2561940327326492283.smt2,unsat,unsat,0.0172111988067626,0.015733003616333,0.0151779651641845
storeinv_t1_pp_nf_ai_00010_001.cvc.smt2,unsat,unsat,0.0806860923767089,0.0709350109100341,0.0674660205841064
smt2367064203144307817.smt2,unsat,unsat,0.0156481266021728,0.0153939723968505,0.0149621963500976
smt9111281160760624293.smt2,unsat,unsat,0.0151870250701904,0.015449047088623,0.0279600620269775
smt8875471975092501873.smt2,unsat,unsat,0.0152812004089355,0.0149059295654296,0.0151622295379638
storecomm_t3_np_sf_ni_00010_004.cvc.smt2,unsat,unsat,0.0164651870727539,0.0202608108520507,0.0163030624389648
storecomm_t3_pp_sf_ai_00010_005.cvc.smt2,unsat,unsat,0.017845869064331,0.0164008140563964,0.0161919593811035
smt7033469606705066791.smt2,unsat,unsat,0.0167059898376464,0.0154292583465576,0.0172579288482666
smt8106154715414218129.smt2,unsat,unsat,0.0155971050262451,0.0159449577331542,0.0158858299255371
storecomm_t3_np_nf_ni_00020_006.cvc.smt2,unsat,unsat,0.0184650421142578,0.0186798572540283,0.0174880027770996
smt8108887928342549384.smt2,unsat,unsat,0.0274879932403564,0.0077171325683593,0.0271878242492675
smt8755060589107111188.smt2,unsat,unsat,0.0153899192810058,0.0151731967926025,0.014967918395996
smt1829682051084319908.smt2,unsat,unsat,0.0158538818359375,0.0064032077789306,0.0153329372406005
smt7725713132450845498.smt2,unsat,unsat,0.0276858806610107,0.0274989604949951,0.0067489147186279
smt7034109130135749243.smt2,unsat,unsat,0.0156421661376953,0.0156822204589843,0.0048170089721679
smt5192927862320386454.smt2,unsat,unsat,0.0154011249542236,0.0155401229858398,0.0151660442352294
smt8654111885011073106.smt2,unsat,unsat,0.0151591300964355,0.0152382850646972,0.0151448249816894
smt1286129643722180277.smt2,unsat,unsat,0.0153200626373291,0.0151066780090332,0.015125036239624
smt2748958072806976140.smt2,unsat,unsat,0.0271689891815185,0.0274748802185058,0.0269958972930908
smt8987693239582237306.smt2,unsat,unsat,0.0186448097229003,0.0276322364807128,0.0274722576141357
smt5720223571793459860.smt2,unsat,unsat,0.0160326957702636,0.0160708427429199,0.0150318145751953
